︾狝摸;へ;玡オ翴;玡オ翴锰;い翴;钉糴;蔼;钉竚;玡糴;龟悔ゑㄒ糴;罽κだゑ;夹ボ糴;夹ボ蔼;夹ボ禯瞒
次瞴︾2Ι;5L;846.539999999998,3641.38713043478;207.59;3194.028,1829.84768503935;457.80772537415;106.701246552953;10;749.3;654.18;1.14451931343537;296.690308063911;80.1163519404759;50
次瞴︾2Ι;4L;845.460000000001,3592.03686956522;204.93;3168.936,3578.86086956522;457.80772537415;106.701246552953;10;709.22;654.18;1.14451931343537;296.690308063911;80.1163519404759;50
次瞴︾2Ι;3L;802.161739130433,3606.056;202.29;3027.05860988451,3638.852;457.80772537415;106.701246552953;10;669.09;654.18;1.14451931343537;296.690308063911;80.1163519404759;50
次瞴︾2Ι;2L;813.312347826087,3651.208;199.77;3036.94,3641.214796875;457.80772537415;106.701246552953;10;654.18;654.18;1.14451931343537;296.690308063911;80.1163519404759;50
次瞴︾2Ι;XL;700.847999999999,3605.2;196.9008;2723.89652173913,3591.304;400;93.228;10;595.4776;571.5762;1;259.227;70;50
次瞴︾2Ι;L;672.44353595394,3642.136;194.3354;2591.12763357943,3627.80799999999;400;93.228;10;571.5762;571.5762;1;259.227;70;50
次瞴︾2Ι;M;647.534304008152,3640.192;191.9;2518.9650611413,3622.3415703125;400;93.228;10;559.18;571.5762;1;259.227;70;50
次瞴︾2Ι;S;646.580173913045,3626.08;190.6;2496.97167459239,3603.436;384.284720042577;89.5652397003234;10;549.12;549.12;0.960711800106443;249.042437806193;67.249826007451;50
次瞴︾2Ι;XS;611.113391304347,3630.544;189.33;2375.37478260869,3606.928;384.284720042577;89.5652397003234;10;539.06;549.12;0.960711800106443;249.042437806193;67.249826007451;50
次瞴︾2Ι;12;532.684521739131,3623.2;186.94;2156.976,3606.352;384.284720042577;89.5652397003234;10;488.24;549.12;0.960711800106443;249.042437806193;67.249826007451;50
次瞴︾2Ι;10;503.152,3646.54817391304;185.14;2036.06485512907,3647.5273700787;384.284720042577;89.5652397003234;10;462.86;549.12;0.960711800106443;249.042437806193;67.249826007451;50
