衣服類型;尺寸;前片;後片;袖片;領片;底;路徑;胸寬;胸高;胸寬比例;胸高比例;示意圖路徑;空白樣版 
棒球衣;5L;5L-P0811-前X2.dxf;5L-P0811-後X1.dxf;5L-P0811-袖X2.dxf;5L-P0811-後內貼1襯1.dxf;5L-P0811-底.dxf;H:/杰優、裕豐工廠產品/創作/版型/禾羽7扣/5L/MM;736.6;364.1777;1.31799572322376;1.2345019333918;H:/杰優、裕豐工廠產品/創作/老闆;5L.ai
棒球衣;4L;4L-P0811-前X2.dxf;4L-P0811-後X1.dxf;4L-P0811-袖X2.dxf;4L-P0811-後內貼1襯1.dxf;4L-P0811-底.dxf;H:/杰優、裕豐工廠產品/創作/版型/禾羽7扣/4L/MM;696.468;351.5182;1.24618768037226;1.19158833042881;H:/杰優、裕豐工廠產品/創作/老闆;4L.ai
棒球衣;3L;3L-P0811-前X2.dxf;3L-P0811-後X1.dxf;3L-P0811-袖X2.dxf;3L-P0811-後內貼1襯1.dxf;3L-P0811-底.dxf;H:/杰優、裕豐工廠產品/創作/版型/禾羽7扣/3L/MM;656.4376;338.7992;1.17456143003431;1.14847303234546;H:/杰優、裕豐工廠產品/創作/老闆;3L.ai
棒球衣;2L;2L-P0811-前X2.dxf;2L-P0811-後X1.dxf;2L-P0811-袖X2.dxf;2L-P0811-後內貼1襯1.dxf;2L-P0811-底.dxf;H:/杰優、裕豐工廠產品/創作/版型/禾羽7扣/2L/MM;641.5024;331.5155;1.14783793054273;1.12378249876186;H:/杰優、裕豐工廠產品/創作/老闆;2L.ai
棒球衣;XL;XL-P0811-前X2.dxf;XL-P0811-後X1.dxf;XL-P0811-袖X2.dxf;XL-P0811-後內貼1襯1.dxf;XL-P0811-底.dxf;H:/杰優、裕豐工廠產品/創作/版型/禾羽7扣/XL/MM;582.7776;306.1099;1.04276185771193;1.03766173321532;H:/杰優、裕豐工廠產品/創作/老闆;XL.ai
棒球衣;L;L-P0811-前X2.dxf;L-P0811-後X1.dxf;L-P0811-袖X2.dxf;L-P0811-後內貼1襯1.dxf;L-P0811-底.dxf;H:/杰優、裕豐工廠產品/創作/版型/禾羽7扣/L/MM;558.8789;294.9997;1;1;H:/杰優、裕豐工廠產品/創作/老闆;L.ai
棒球衣;M;M-P0811-前X2.dxf;M-P0811-後X1.dxf;M-P0811-袖X2.dxf;M-P0811-後內貼1襯1.dxf;M-P0811-底.dxf;H:/杰優、裕豐工廠產品/創作/版型/禾羽7扣/M/MM;546.5064;302.5298;0.977861930375257;1.02552578867029;H:/杰優、裕豐工廠產品/創作/老闆;M.ai
棒球衣;S;S-P0811-前X2.dxf;S-P0811-後X1.dxf;S-P0811-袖X2.dxf;S-P0811-後內貼1襯1.dxf;S-P0811-底.dxf;H:/杰優、裕豐工廠產品/創作/版型/禾羽7扣/S/MM;536.448;297.6339;0.959864471533994;1.00892950060627;H:/杰優、裕豐工廠產品/創作/老闆;S.ai
棒球衣;XS;XS-P0811-前X2.dxf;XS-P0811-後X1.dxf;XS-P0811-袖X2.dxf;XS-P0811-後內貼1襯1.dxf;XS-P0811-底.dxf;H:/杰優、裕豐工廠產品/創作/版型/禾羽7扣/XS/MM;517.398;291.2568;0.925778375243725;0.987312190486973;H:/杰優、裕豐工廠產品/創作/老闆;XS.ai
棒球衣2扣;5L;5L-Q0517-前X1.dxf;5L-Q0517-後X1.dxf;5L-Q0517-袖X2.dxf;5L-Q0517-後領貼1襯1.dxf;;H:\杰優、裕豐工廠產品\創作\版型\2024杰優-Q0517-棒球衣(2扣)\5L;;;;;H:/杰優、裕豐工廠產品/創作/老闆;
