左前點;2149.11149626399,1221.79252943042
右前點;886.087495948244,1221.79252943041
右後點;4890.52507684395,1211.83566879124
左後點;3603.95671746895,1211.83566879124
左後點_斜率;2.61782660185342
右後點_斜率;-2.61782660185345
左前點_斜率;-2.52109318783386
右前點_斜率;2.52109318783383
後片套圖中心位置;-2666.52729511362,-3555.86749310471
前片套圖中心位置;261.626456692911,-3555.86749310471
左袖套圖中心位置;3135.7680358823,-3555.86749310471
右袖套圖中心位置;6635.63508726683,-3555.86749310471
左袖套圖點;3112.89376173841,-2513.18078622739
左前點旋轉角度;20.90061702
左後點旋轉角度;-21.63283402
右袖套圖點;6658.5093614266,-2513.18078622754
右前點旋轉角度;-20.90667044
右後點旋轉角度;21.63311702
左前袖口點;2792.08310911385,-460.274478995776
右前袖口點;243.115883098389,-460.274478995776
左後袖口點;2982.14347976936,-478.776493334026
右後袖口點;5512.33844008213,-478.776493334026
左袖口套圖點;3135.76724409449,-4318.56340176548
左前袖口點旋轉角度;23.22395511
左後袖口點旋轉角度;-23.95711928
右袖口套圖點;6635.63622047244,-4318.563401769
右前袖口點旋轉角度;-23.22395511
右後袖口點旋轉角度;23.95711928
