尺寸,前片,後片,左袖,右袖,領,左前,右前,左前協,右前協,領前,口袋左前,口袋左後,口袋右前,口袋右後
4,4前片,4後片,4左袖,4右袖,4,4左前,4右前,4左前協,4右前協,4,4口袋左前,4口袋左後,4口袋右前,4口袋右後
6,6前片,6後片,6左袖,6右袖,6,6左前,6右前,6左前協,6右前協,6,6口袋左前,6口袋左後,6口袋右前,6口袋右後
8,8前片,8後片,8左袖,8右袖,8,8左前,8右前,8左前協,8右前協,8,8口袋左前,8口袋左後,8口袋右前,8口袋右後
10,10前片,10後片,10左袖,10右袖,10,10左前,10右前,10左前協,10右前協,10,10口袋左前,10口袋左後,10口袋右前,10口袋右後
12,12前片,12後片,12左袖,12右袖,12,12左前,12右前,12左前協,12右前協,12,12口袋左前,12口袋左後,12口袋右前,12口袋右後
14,14前片,14後片,14左袖,14右袖,14,14左前,14右前,14左前協,14右前協,14,14口袋左前,14口袋左後,14口袋右前,14口袋右後
XS,XS前片,XS後片,XS左袖,XS右袖,XS,XS左前,XS右前,XS左前協,XS右前協,XS,XS口袋左前,XS口袋左後,XS口袋右前,XS口袋右後
S,S前片,S後片,S左袖,S右袖,S,S左前,S右前,S左前協,S右前協,S,S口袋左前,S口袋左後,S口袋右前,S口袋右後
M,M前片,M後片,M左袖,M右袖,M,M左前,M右前,M左前協,M右前協,M,M口袋左前,M口袋左後,M口袋右前,M口袋右後
L,L前片,L後片,L左袖,L右袖,L,L左前,L右前,L左前協,L右前協,L,L口袋左前,L口袋左後,L口袋右前,L口袋右後
XL,XL前片,XL後片,XL左袖,XL右袖,XL,XL左前,XL右前,XL左前協,XL右前協,XL,XL口袋左前,XL口袋左後,XL口袋右前,XL口袋右後
2L,2XL前片,2XL後片,2XL左袖,2XL右袖,2XL,2XL左前,2XL右前,2XL左前協,2XL右前協,2XL,2XL口袋左前,2XL口袋左後,2XL口袋右前,2XL口袋右後
3L,3XL前片,3XL後片,3XL左袖,3XL右袖,3XL,3XL左前,3XL右前,3XL左前協,3XL右前協,3XL,3XL口袋左前,3XL口袋左後,3XL口袋右前,3XL口袋右後
4L,4XL前片,4XL後片,4XL左袖,4XL右袖,4XL,4XL左前,4XL右前,4XL左前協,4XL右前協,4XL,4XL口袋左前,4XL口袋左後,4XL口袋右前,4XL口袋右後
5L,5XL前片,5XL後片,5XL左袖,5XL右袖,5XL,5XL左前,5XL右前,5XL左前協,5XL右前協,5XL,5XL口袋左前,5XL口袋左後,5XL口袋右前,5XL口袋右後
6L,6XL前片,6XL後片,6XL左袖,6XL右袖,6XL,6XL左前,6XL右前,6XL左前協,6XL右前協,6XL,6XL口袋左前,6XL口袋左後,6XL口袋右前,6XL口袋右後
7L,7XL前片,7XL後片,7XL左袖,7XL右袖,7XL,7XL左前,7XL右前,7XL左前協,7XL右前協,7XL,7XL口袋左前,7XL口袋左後,7XL口袋右前,7XL口袋右後
