衣服類型;尺寸;路徑;空白樣版 ;訂單根位置;裁片轉向;排版檔案;排版位置;排版名稱
棒球衣;5L;H:/杰優、裕豐工廠產品/創作/版型/禾羽7扣/整版_套圖_EPS;5L_套版.eps;H:/杰優、裕豐工廠產品/阿庚訂單/114/7月/17;;;;禾羽7扣
棒球衣;4L;H:/杰優、裕豐工廠產品/創作/版型/禾羽7扣/整版_套圖_EPS;4L_套版.eps;H:/杰優、裕豐工廠產品/阿庚訂單/114/7月/17;;;;禾羽7扣
棒球衣;3L;H:/杰優、裕豐工廠產品/創作/版型/禾羽7扣/整版_套圖_EPS;3L_套版.eps;H:/杰優、裕豐工廠產品/阿庚訂單/114/7月/17;;;;禾羽7扣
棒球衣;2L;H:/杰優、裕豐工廠產品/創作/版型/禾羽7扣/整版_套圖_EPS;2L_套版.eps;H:/杰優、裕豐工廠產品/阿庚訂單/114/7月/17;;;;禾羽7扣
棒球衣;XL;H:/杰優、裕豐工廠產品/創作/版型/禾羽7扣/整版_套圖_EPS;XL_套版.eps;H:/杰優、裕豐工廠產品/阿庚訂單/114/7月/17;;;;禾羽7扣
棒球衣;L;H:/杰優、裕豐工廠產品/創作/版型/禾羽7扣/整版_套圖_EPS;L_套版.eps;H:/杰優、裕豐工廠產品/阿庚訂單/114/7月/17;;;;禾羽7扣
棒球衣;M;H:/杰優、裕豐工廠產品/創作/版型/禾羽7扣/整版_套圖_EPS;M_套版.eps;H:/杰優、裕豐工廠產品/阿庚訂單/114/7月/17;;;;禾羽7扣
棒球衣;S;H:/杰優、裕豐工廠產品/創作/版型/禾羽7扣/整版_套圖_EPS;S_套版.eps;H:/杰優、裕豐工廠產品/阿庚訂單/114/7月/17;;;;禾羽7扣
棒球衣;XS;H:/杰優、裕豐工廠產品/創作/版型/禾羽7扣/整版_套圖_EPS;XS_套版.eps;H:/杰優、裕豐工廠產品/阿庚訂單/114/7月/17;;;;禾羽7扣
棒球衣;12;H:/杰優、裕豐工廠產品/創作/版型/禾羽7扣/整版_套圖_EPS;12_套版.eps;H:/杰優、裕豐工廠產品/阿庚訂單/114/7月/17;;;;禾羽7扣
棒球衣;10;H:/杰優、裕豐工廠產品/創作/版型/禾羽7扣/整版_套圖_EPS;10_套版.eps;H:/杰優、裕豐工廠產品/阿庚訂單/114/7月/17;;;;禾羽7扣
棒球衣2扣;5L;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0517-棒球衣(2扣)/整版;5L整版.eps;H:/杰優、裕豐工廠產品/阿庚訂單/114/9月/19/至育星;;;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0517-棒球衣(2扣)/排版;2扣
棒球衣2扣;4L;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0517-棒球衣(2扣)/整版;4L整版.eps;H:/杰優、裕豐工廠產品/阿庚訂單/114/9月/19/至育星;;;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0517-棒球衣(2扣)/排版;2扣
棒球衣2扣;3L;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0517-棒球衣(2扣)/整版;3L整版.eps;H:/杰優、裕豐工廠產品/阿庚訂單/114/9月/19/至育星;;;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0517-棒球衣(2扣)/排版;2扣
棒球衣2扣;2L;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0517-棒球衣(2扣)/整版;2L整版.eps;H:/杰優、裕豐工廠產品/阿庚訂單/114/9月/19/至育星;;;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0517-棒球衣(2扣)/排版;2扣
棒球衣2扣;XL;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0517-棒球衣(2扣)/整版;XL整版.eps;H:/杰優、裕豐工廠產品/阿庚訂單/114/9月/19/至育星;;;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0517-棒球衣(2扣)/排版;2扣
棒球衣2扣;L;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0517-棒球衣(2扣)/整版;L整版.eps;H:/杰優、裕豐工廠產品/阿庚訂單/114/9月/19/至育星;;;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0517-棒球衣(2扣)/排版;2扣
棒球衣2扣;M;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0517-棒球衣(2扣)/整版;M整版.eps;H:/杰優、裕豐工廠產品/阿庚訂單/114/9月/19/至育星;;;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0517-棒球衣(2扣)/排版;2扣
棒球衣2扣;S;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0517-棒球衣(2扣)/整版;S整版.eps;H:/杰優、裕豐工廠產品/阿庚訂單/114/9月/19/至育星;;;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0517-棒球衣(2扣)/排版;2扣
