¤Ø¤o,´Ú¦¡,¥ª«e-X,¥ª«e-Y,¥ª«e¨ó-X,¥ª«e¨ó-Y,¥k«e-X,¥k«e-Y,¥k«e¨ó-X,¥k«e¨ó-Y
S,¦ã¸¦º¸,1615.33395107456,1804.4965268421,1717.38119516936,1804.4965268421,389.915392742923,1804.49652686961,287.868148648123,1804.49652687419
S,ªNÀu,1615.33395107456,1804.4965268421,1717.38119516936,1804.4965268421,389.915392742923,1804.49652686961,287.868148648123,1804.49652687419
M,¦ã¸¦º¸,1570.80458456889,1816.251723403,1649.4931466891,1816.251723403,361.989816115008,1816.25172343115,286.184893540719,1816.251723442
M,ªNÀu,1570.80458456889,1816.251723403,1649.4931466891,1816.251723403,361.989816115008,1816.25172343115,286.184893540719,1816.251723442
L,¦ã¸¦º¸,1660.96040759408,1806.01244430484,1740.33048633448,1806.01244430484,372.299434911383,1806.01244433376,292.336763575684,1806.01244433734
L,ªNÀu,1660.96040759408,1806.01244430484,1740.33048633448,1806.01244430484,372.299434911383,1806.01244433376,292.336763575684,1806.01244433734
XL,¦ã¸¦º¸,1769.81023436494,1773.31911095566,1849.18031310534,1773.31911095566,431.07865450806,1773.31911098572,350.523390580871,1773.31911098931
XL,ªNÀu,1769.81023436494,1773.31911095566,1849.18031310534,1773.31911095566,431.07865450806,1773.31911098572,350.523390580871,1773.31911098931
2XL,¦ã¸¦º¸,1790.07398239311,1740.25866650307,1869.44406113351,1740.25866650307,405.481573144321,1740.25866653415,322.555938848228,1740.25866653728
2XL,ªNÀu,1790.07398239311,1740.25866650307,1869.44406113351,1740.25866650307,405.481573144321,1740.25866653415,322.555938848228,1740.25866653728
3XL,¦ã¸¦º¸,1610.13124223264,1711.95288871766,2708.65939613583,-480.533870683943,163.447060458766,1711.95288875013,2529.46828517253,-483.593870683908
3XL,ªNÀu,1610.13124223264,1711.95288871766,2708.65939613583,-480.533870683943,163.447060458766,1711.95288875013,2529.46828517253,-483.593870683908
4XL,¦ã¸¦º¸,1961.76172890407,1681.12452681125,2076.80355567648,1672.41252680907,468.219505458244,1681.12452684477,345.189881426751,1672.41252684753
4XL,ªNÀu,1961.76172890407,1681.12452681125,2075.14755567607,1681.12452681125,468.219505458244,1681.12452684477,356.133881428994,1681.12452684984
5XL,¦ã¸¦º¸,2045.9653843231,1661.55871437728,2159.3512110951,1661.55871437728,496.539401360616,1661.55871441206,382.585513880471,1661.55871441717
5XL,ªNÀu,2045.9653843231,1661.55871437728,2159.3512110951,1661.55871437728,496.539401360616,1661.55871441206,382.585513880471,1661.55871441717
